name,price,mpn,url
LinkBuds series | LinkBuds Open Wireless Headphones,129.00,WFL910B.CE7,https://www.sony.co.uk/store/product/wfl910b.ce7/LinkBuds-series-LinkBuds-Open-Wireless-Headphones
WF-C700N Wireless Noise Cancelling Headphones,49.00,WFC700NG.CE7,https://www.sony.co.uk/headphones/products/wf-c700n?locale=en_GB&sku=wfc700ng.ce7
WF-C710N Wireless Noise Cancelling Headphones,84.99,WFC710NB.CE7,https://www.sony.co.uk/headphones/products/wf-c710n?locale=en_GB&sku=wfc710nb.ce7
1000X series | WH-1000XM6 Wireless Noise Cancelling Headphones,329.00,WH1000XM6L.CE7,https://www.sony.co.uk/headphones/products/wh-1000xm6?locale=en_GB&sku=wh1000xm6l.ce7
1000X series | WF-1000XM6 Wireless Noise Cancelling Headphones,249.00,WF1000XM6B.CE7,https://www.sony.co.uk/headphones/products/wf-1000xm6?locale=en_GB&sku=wf1000xm6b.ce7
LinkBuds series | LinkBuds Clip Wireless Headphones,179.99,WFLC900B.CE7,https://www.sony.co.uk/headphones/products/linkbuds-clip?locale=en_GB&sku=wflc900b.ce7
WH-CH720N Wireless Noise Cancelling Headphones,74.99,WHCH720NP.CE7,https://www.sony.co.uk/headphones/products/wh-ch720n?locale=en_GB&sku=whch720np.ce7
WF-C710NSA Wireless Noise Cancelling Headphones,72.99,WFC710NSAB.CE7,https://www.sony.co.uk/store/product/wfc710nsab.ce7/WF-C710N-Wireless-Noise-Cancelling-Headphones
LinkBuds series | LinkBuds Fit Wireless Noise Canceling Headphones,129.00,WFLS910NB.CE7,https://www.sony.co.uk/headphones/products/linkbuds-fit?locale=en_GB&sku=wfls910nb.ce7
WH-1000XM5 Wireless Noise Cancelling Headphones,229.00,WH1000XM5P.CE7,https://www.sony.co.uk/electronics/headband-headphones/wh-1000xm5?locale=en_GB&sku=wh1000xm5p.ce7
WF-1000XM5 Wireless Noise Cancelling Headphones,199.00,WF1000XM5P.CE7,https://www.sony.co.uk/headphones/products/wf-1000xm5?locale=en_GB&sku=wf1000xm5p.ce7
ULT POWER SOUND series | ULT WEAR Wireless Noise Cancelling Headphones,129.00,WHULT900NB.CE7,https://www.sony.co.uk/headphones/products/ult-wear?locale=en_GB&sku=whult900nb.ce7
LinkBuds series | Air Fitting Supporters for LinkBuds Fit,8.00,HACLS910NSL.WW,https://www.sony.co.uk/headphones/products/linkbuds-fit-supporters?locale=en_GB&sku=hacls910nsl.ww
LinkBuds series | Air Fitting Supporters for LinkBuds Open,8.00,HACL910SB.WW,https://www.sony.co.uk/headphones/products/linkbuds-open-supporters?locale=en_GB&sku=hacl910sb.ww
MDR-M1 Closed Monitor Headphones,209.00,MDRM1.WW2,https://www.sony.co.uk/store/product/mdrm1.ww2/MDR-M1-Closed-Monitor-Headphones
INZONE H6 Air | Wired Open-back Gaming Headset,179.00,MDRG600B.CE7,https://www.sony.co.uk/gaming-gear/products/inzone-h6-air?locale=en_GB&sku=mdrg600b.ce7
INZONE H5 Wireless Gaming Headset,119.00,WHG500B.CE7,https://www.sony.co.uk/gaming-gear/products/inzone-h5?locale=en_GB&sku=whg500b.ce7
INZONE H9 II Wireless Noise Cancelling Gaming Headset,299.00,WHG910NB.CE7,https://www.sony.co.uk/gaming-gear/products/inzone-h9-ii?locale=en_GB&sku=whg910nb.ce7
INZONE E9 In-ear Gaming Headphones,129.00,IERG900W.CE7,https://www.sony.co.uk/gaming-gear/products/inzone-e9?locale=en_GB&sku=ierg900w.ce7
INZONE H3 Wired Gaming Headset,55.00,MDRG300B.CE7,https://www.sony.co.uk/electronics/gaming-headsets/inzone-h3?locale=en_GB&sku=mdrg300b.ce7
INZONE Buds Truly Wireless Noise Cancelling Gaming Earbuds,129.00,WFG700NV.CE7,https://www.sony.co.uk/gaming-gear/products/inzone-buds?locale=en_GB&sku=wfg700nv.ce7
WF-C510 Truly Wireless Headphones,39.99,WFC510B.CE7,https://www.sony.co.uk/headphones/products/wf-c510?locale=en_GB&sku=wfc510b.ce7
WH-CH520 Wireless Headphones,34.99,WHCH520P.CE7,https://www.sony.co.uk/headphones/products/wh-ch520?locale=en_GB&sku=whch520p.ce7
MDR-7506 Professional Headphones,86.00,MDR7506.EU,https://www.sony.co.uk/store/product/mdr7506.eu/MDR-7506-Professional-Headphones
WI-C100 Wireless In-ear Headphones,29.00,WIC100C.CE7,https://www.sony.co.uk/electronics/in-ear-headphones/wi-c100?locale=en_GB&sku=wic100c.ce7
WH-1000XM5SA Soft Case Wireless Noise Cancelling Headphones,199.00,WH1000XM5SAB.CE7,https://www.sony.co.uk/store/product/wh1000xm5sab.ce7/WH-1000XM5SA-Soft-Case-Wireless-Noise-Cancelling-Headphones
MDR-EX15LP / 15AP In-ear Headphones,10.00,MDREX15LPB.AE,https://www.sony.co.uk/electronics/in-ear-headphones/mdr-ex15lp-15ap?locale=en_GB&sku=mdrex15lpb.ae
IER-EX15C | USB-C® Wired In-ear Headphones,19.99,IEREX15CB.CE7,https://www.sony.co.uk/headphones/products/ier-ex15c?locale=en_GB&sku=ierex15cb.ce7
ZX110 Headphones,15.00,MDRZX110P.AE,https://www.sony.co.uk/electronics/headband-headphones/mdr-zx110-zx110a-zx110ap?locale=en_GB&sku=mdrzx110p.ae
LinkBuds series | Case Cover for LinkBuds Clip,20.00,HACLC900CAL.WW,https://www.sony.co.uk/headphones/products/linkbuds-clip-casecover?locale=en_GB&sku=haclc900cal.ww
LinkBuds series | Case Cover for LinkBuds Fit,17.00,HACLS910NCV.WW,https://www.sony.co.uk/headphones/products/linkbuds-fit-casecover?locale=en_GB&sku=hacls910ncv.ww
LinkBuds series | Case Cover for LinkBuds Open,17.00,HACL910CL.WW,https://www.sony.co.uk/headphones/products/linkbuds-open-casecover?locale=en_GB&sku=hacl910cl.ww
INZONE H9 Wireless Noise Cancelling Gaming Headset,199.00,WHG900NB.CE7,https://www.sony.co.uk/electronics/gaming-headsets-headphones/inzone-h9?locale=en_GB&sku=whg900nb.ce7
LinkBuds,149.00,WFL900H.CE7,https://www.sony.co.uk/electronics/truly-wireless/wf-l900?locale=en_GB&sku=wfl900h.ce7
MDR-EX650AP In-ear Headphones,40.00,MDREX650APT.CE7,https://www.sony.co.uk/electronics/in-ear-headphones/mdr-ex650ap?locale=en_GB&sku=mdrex650apt.ce7
MDR-EX155AP In-ear Headphones,18.00,MDREX155APB.AE,https://www.sony.co.uk/electronics/in-ear-headphones/mdr-ex155ap?locale=en_GB&sku=mdrex155apb.ae
EP-NI1010 | Headphones | Sony UK,,EPNI1010L.WW,https://www.sony.co.uk/headphones/products/ep-ni1010?locale=en_GB&sku=epni1010l.ww
Z1R Premium Headphones,1650.00,MDRZ1R.WW2,https://www.sony.co.uk/electronics/headband-headphones/mdr-z1r?locale=en_GB&sku=mdrz1r.ww2
MDR-MV1 Open Back Studio Monitor Headphones,339.00,MDR-MV1,https://www.sony.co.uk/headphones/products/mdr-mv1?locale=en_GB&sku=mdr-mv1
